,Transmitter,Length,Weight,Stadium,Catch_location,Catch_location_type,stations,moves,maxdetections,days,distance,distance2
1,A69-1601-29919,644,493,FIII,9,Canal,4,14,1248,42.72638889,7058,7058
2,A69-1601-29920,574,310,FII,9,Canal,4,39,1033,376.0881944,5247,5247
3,A69-1601-29922,680,571,FIII,6,Creek,1,1105,79321,1118.654167,0,300
4,A69-1601-29923,554,360,FII,6,Creek,1,2,148,0.521527778,0,300
5,A69-1601-29924,601,418.5,FV,9,Canal,4,178,152017,313.2694444,11456,11456
6,A69-1601-29927,604,343.2,FIII,9,Canal,3,268,3964,461.7194444,2599,2599
7,A69-1601-29928,576,307,FV,6,Creek,2,17,1148,276.3326389,5264,5264
8,A69-1601-29929,812,1126,FIV,10,Canal,6,106,15786,46.03194444,10002,10002
9,A69-1601-29930,653,469,FV,9,Canal,4,435,6824,950.2465278,5247,5247
10,A69-1601-29931,617,555,FV,10,Canal,5,77,3499,32.92777778,7876,7876
11,A69-1601-29932,664,781,FIV,10,Canal,4,70,8853,55.28890046,4207,4207
12,A69-1601-29933,617,419,FII,10,Canal,2,18,471,432.1256944,3147,3147
13,A69-1601-29934,730,761.3,FIII,7,Creek,2,640,58156,356.5083333,2769,2769
14,A69-1601-29935,715,672,FIII,9,Canal,3,641,122820,787.2375,2599,2599
15,A69-1601-29936,654,460,FIII,9,Canal,2,142,5057,250.0513889,1263,1263
16,A69-1601-29937,644,568,FII,10,Canal,1,203,1825,666.0972222,0,300
17,A69-1601-29938,572,456.2,FV,10,Canal,6,20,409,48.01458333,10807,10807
18,A69-1601-29939,683,564,FIII,7,Creek,2,358,12994,995.7083333,2769,2769
19,A69-1601-29940,689,583,FIII,7,Creek,2,1640,200661,1038.741667,2769,2769
20,A69-1601-29941,779,817.3,FIII,7,Creek,2,1256,108357,806.7638889,2769,2769
21,A69-1601-29942,713,640,FIII,7,Creek,2,196,34764,191.0680556,2769,2769
22,A69-1601-29943,660,491.6,FIII,9,Canal,2,786,10186,816.3090278,1336,1336
23,A69-1601-29945,761,856,FIII,7,Creek,2,451,32803,356.5388889,2769,2769
24,A69-1601-29946,770,930.7,FIII,7,Creek,2,687,37136,963.6847222,2769,2769
25,A69-1601-29947,690,582.5,FIII,7,Creek,2,317,6745,326.3819444,2769,2769
26,A69-1601-31854,624,453.4,FIII,4,Creek,8,44,5569,55.95208333,0,300
27,A69-1601-31855,853,1378,FIV,6,Creek,2,184,19691,88.53263889,5264,5264
28,A69-1601-31856,673,598,FII,6,Creek,1,634,27079,422.575,0,300
29,A69-1601-31857,698,689,FIII,6,Creek,3,163,36195,154.5944444,5378,5378
30,A69-1601-31858,748,864.4,FIII,6,Creek,8,50,1477,75.24652778,16754,16754
31,A69-1601-31861,602,382.8,FII,4,Creek,12,242,7700,725.7875,18248,18248
32,A69-1601-31862,613,446,FV,4,Creek,1,31,1723,821.9555556,0,300
33,A69-1601-31863,592,405.2,FIII,4,Creek,3,14,328,8.759027778,2519,2519
34,A69-1601-31864,595,386.5,FV,4,Creek,5,23,116,351.8118056,9415,9415
35,A69-1601-31868,712,780,FIII,3,Polder,4,65,2134,75.96944444,4207,4207
36,A69-1601-31873,618,353,FII,4,Creek,1,5,20,121.1305556,0,300
37,A69-1601-31874,611,402,FII,1,Canal,2,268,5872,382.8048611,988,988
38,A69-1601-31875,582,377,FIII,1,Canal,5,1416,151849,1135.280556,13641,13641
39,A69-1601-31877,712,663.1,FV,3,Polder,3,24,116,553.4631944,2440,2440
40,A69-1601-31879,560,246,FII,1,Canal,2,117,497,646.0784722,2895,2895
41,A69-1601-31880,575,317,FII,2,Polder,2,7,43,308.4923611,988,988
42,A69-1601-31881,605,402,FII,2,Polder,2,119,3725,715.175,988,988
43,A69-1601-31882,579,356,FII,1,Canal,1,3,10,11.93263889,0,300
44,A69-1601-31883,531,305,FII,1,Canal,1,5,50,13.08125,0,300
45,A69-1601-31886,601,310,FII,1,Canal,3,38,600,31.02361111,2519,2519
46,A69-1601-31887,575,360.8,FIII,1,Canal,3,122,831,816.4145833,4135,4135
47,A69-1601-31888,727,674.6,FV,1,Canal,2,449,11899,420.7763889,988,988
48,A69-1601-31889,764,980,FIV,2,Polder,4,17,140,28.17013889,8643,8643
49,A69-1601-31890,571,344,FIII,2,Polder,5,240,37489,174.6465278,5561,5561
50,A69-1601-31891,626,504,FIII,1,Canal,2,249,14041,395.5430556,988,988
51,A69-1601-31892,574,299,FIII,1,Canal,2,19,92870,923.9479167,988,988
52,A69-1601-31893,592,352,FIII,2,Polder,4,935,9421,720.2263889,3330,3330
53,A69-1601-31895,535,286,FIII,1,Canal,3,1677,48420,1054.498611,3258,3258
54,A69-1601-31896,582,381,FIII,1,Canal,2,28,175,758.0361111,988,988
55,A69-1601-31897,619,419,FIII,1,Canal,2,49,239,414.1618056,988,988
56,A69-1601-31898,715,710,FIII,2,Polder,1,1044,22306,392.0930556,0,300
